X,Y,ID,Type,Exist,PowerAvailable
291774.5363,8020643.701,1,MV,yes,300
291391.2031,8019698.671,2,MV,yes,300
292119.1586,8018795.771,3,MV,yes,300
292495.0006,8017619.238,4,MV,yes,300
293368.7011,8016344.116,5,MV,yes,300
293254.3113,8015340.392,6,MV,yes,300
290605.6957,8016119.186,7,MV,yes,300
289429.8726,8016421.062,8,MV,yes,300
288957.7796,8014903.289,9,MV,yes,300
289332.3586,8012798.389,10,MV,yes,300
292275.2106,8008321.25,11,MV,yes,300
295706.5239,8006945.449,12,MV,yes,300
297686.6384,8002066.137,13,MV,yes,300
