ID,X,Y,Type,Exist,PowerAvailable
0,239576.4781,8460976.627,MV,no,3000
1,232357.4645,8494796.754,MV,no,1500
2,237829.7929,8476175.443,MV,no,3000
3,247389.56600000002,8465372.93,MV,no,1000
4,233923.3758,8485584.211000001,MV,no,1000
5,233217.8039,8468751.626,MV,no,2000
6,182040.58899999998,8457250.572,MV,no,1000
7,176360.5904,8471907.838,MV,no,1500
8,175082.7108,8485619.631000001,MV,no,1000
9,172459.8229,8497361.051,MV,no,3000
10,172015.9046,8509245.522,MV,no,1000
11,204325.2923,8466795.485,LV,no,300
12,171602.2328,8515736.538999999,LV,no,300
13,251321.4627,8506471.848,LV,no,300
14,187823.6617,8449483.868999999,LV,no,300
15,166905.3004,8513668.983,HV,no,100000
16,188550.7168,8514889.426,HV,no,100000
17,221015.4636,8516686.522,HV,no,100000
