Cluster,PV [kW],Wind [kW],Diesel [kW],BESS [kWh],Inverter [kW],Investment Cost [k€],OM Cost [k€],Replace Cost [k€],Total Cost [k€],Energy Produced [MWh],Energy Consumed [MWh],LCOE [€/kWh]
0,29.0,0.0,16.0,40.0,7.2787,71.3731,89.4378,31.7394,192.5504,930.8529,977.549,0.2069
1,47.0,0.0,16.0,75.0,17.9667,112.3099,118.9642,46.512,277.786,1361.4616,1429.8479,0.204
2,27.0,0.0,16.0,39.0,8.8828,68.185,80.6875,29.6962,178.5687,847.334,890.0073,0.2107
3,92.0,0.0,48.0,94.0,25.0812,207.3687,310.5692,86.9324,604.8703,3040.0994,3195.2722,0.199
4,54.0,0.0,32.0,58.0,24.8193,129.4453,178.4882,52.2893,360.2228,1764.451,1852.9661,0.2042
5,25.0,0.0,16.0,46.0,8.3326,67.7804,63.2571,28.8294,159.8668,722.7002,758.6948,0.2212
6,103.0,0.0,48.0,108.0,35.7094,232.103,349.7432,99.0329,680.8791,3428.6551,3603.8002,0.1986
7,275.0,0.0,144.0,253.0,79.9911,609.7588,990.3329,253.7803,1853.8719,9491.9562,9979.7544,0.1953
8,96.0,0.0,48.0,101.0,30.8659,218.2952,335.0523,93.4416,646.7891,3262.0688,3428.7168,0.1983
11,93.0,0.0,48.0,92.0,29.5128,209.5125,331.0834,91.3483,631.9442,3193.268,3355.7654,0.1979
12,1890.0,0.0,1040.0,1583.0,508.8882,4147.1394,7123.1297,1722.3886,12992.6577,67160.073,70631.566,0.1935
